entropy,mig,mean_r,mean_g,mean_b,brightness,relative_r,relative_g,relative_b,density,mean_height,material
0.40747014,106.94626211404976,48.187618712627504,65.32135068589518,101.131973267675,214.64094266619767,0.2268768603607357,0.2994116387678466,0.4737115008714176,1767.59753163895,34.23798,asphalt
0.80661374,105.18160219822326,65.21521151807394,74.07243254334666,103.40326938203208,242.6909134434527,0.2567815844159956,0.3006110319950659,0.4426073835889384,2251.760135955329,28.6706,asphalt
0.9910077,77.70442667852994,102.17123199753549,99.11162169794368,121.99363335301516,323.27648704849435,0.3112848709595076,0.306150461791994,0.3825646672484983,2267.8742360650917,35.72821,asphalt
0.85153854,88.76758715023776,90.74846459537572,90.37213993256262,114.98621146435453,296.10681599229287,0.3047643799246287,0.3040677226292178,0.3911678974461536,2132.329883976168,41.20266,asphalt
2.3446336,116.114232979802,91.47620280646542,92.02933941500432,119.85041479519175,303.3559570166615,0.2989866285167142,0.3000918651319407,0.400921506351345,2299.435315663631,41.02297,asphalt
0.6226737,91.78003863129608,97.97573959333276,99.05188061785496,127.89030456409807,324.91792477528577,0.2973445111191531,0.3041227057462858,0.398532783134561,2069.270077597628,35.58842,asphalt
0.5939255,99.10957885146377,74.43555008210181,81.5391351943076,112.65330231709542,268.6279875935048,0.2797912143378915,0.3016160601236451,0.4185927255384633,2243.953549288396,25.57519,asphalt
1.447083,101.09450649649176,100.1404559338706,99.527740866654,127.12528690009836,326.793483700623,0.3026636172317166,0.3028527007947302,0.3944836819735532,2277.6775157134857,46.10193,asphalt
0.79518336,84.80011183475328,109.1398730745926,106.6173741110438,132.9262684568039,348.6835156424403,0.3108314925461612,0.3055081721980909,0.3836603352557477,2274.5427790624344,41.82968,asphalt
0.8113421,97.3716546011484,95.44415308527236,98.12998307166328,128.58333056726525,322.1574667242009,0.2907701312673986,0.3033921143119724,0.4058377544206289,1524.2378810594705,34.11649,asphalt
0.5692971,90.5622822244896,101.34694865218025,103.47301940666893,132.4765522915356,337.29652035038475,0.2967782808054235,0.3063193322832979,0.3969023869112785,2107.854450342334,31.87429,asphalt
0.52875245,96.94056756530618,90.41705190166002,94.21343769699516,124.74070182811516,309.37119142677034,0.2899463980879675,0.3036630613796123,0.4063905405324201,2070.214784783921,31.30882,asphalt
0.48938903,110.8960420503735,79.82570453098779,88.54313986459117,121.89896418031364,290.26780857589256,0.2765032362652551,0.3022236779560428,0.421273085778702,1578.2712424298038,33.15116,asphalt
0.6230911,95.83365207718046,85.86496397601277,89.40131153199016,118.31386168514604,293.58013719314897,0.2926607341917168,0.3033559386910205,0.4039833271172627,1938.9587073608616,30.7046,asphalt
0.56664395,81.10978870111792,93.58803659394792,99.4364062866526,132.14689186019234,325.1713347407929,0.2857915595631611,0.3055574193890278,0.408651021047811,1773.0108350662142,20.57398,asphalt
0.4011922,98.41191795539852,68.8786275806333,81.32811696422011,117.54235544779958,267.749099992653,0.2576132463271033,0.3010231933194016,0.4413635603534951,2117.711771177117,28.50972,asphalt
0.555167,93.9547399861328,82.53314462171899,91.35100360267629,125.11039629439011,298.99454451878535,0.270235384412645,0.3040428379020358,0.4257217776853192,1963.776963776964,25.23292,asphalt
0.45183766,100.24393723367308,86.38668740279938,90.77685847589424,120.79272161741837,297.956267496112,0.2908366714418761,0.3026652375483927,0.4064980910097311,1562.5,25.27501,asphalt
0.46123484,93.4454017884968,83.76631425446591,92.18671770567504,125.34694373556933,301.29997569571026,0.2778056698140725,0.3047765531260769,0.4174177770598505,1708.8892220056962,19.90036,asphalt
1.1443707,91.55705556012984,144.4915954193361,150.3092394579994,197.96249748867112,492.7633323660067,0.2827412679984662,0.3046723780326648,0.4125863539688688,491.675338189386,49.85072,AAC
1.0800569,81.71294622150447,144.63274879122466,148.82954463448075,196.3519039715186,489.814197397224,0.2813626611694704,0.303438985399695,0.4151983534308346,526.468515524603,29.24204,AAC
1.327638,71.83489164248745,160.62000347584288,166.9018943343761,224.4793187347932,552.0012165450122,0.278818750596435,0.302357401489947,0.4188238479136179,518.8667129023144,34.96764,AAC
0.6552677,72.86342596765158,81.98405912904515,94.4370355573312,124.74662405113864,301.167718737515,0.2634592240650414,0.3131284237071218,0.4234123522278368,525.8669698692438,27.1991,AAC
0.49868315,81.17779122777372,75.80666780257852,89.9049241778838,121.63917759981824,287.3507695802806,0.2502896254605535,0.3122119485196372,0.4374984260198092,641.3192853870819,48.87274,AAC
1.1884699,53.55672120180044,106.82387467931277,114.35765373552049,146.3298414055819,367.5113698204151,0.2827086833187072,0.3110717546087151,0.4062195620725776,600.6006006006006,41.59601,AAC
1.0634639,54.31055194190518,101.72007667341916,106.44163453789018,133.86484131651747,342.0265525278268,0.2899257219769023,0.3109020789266663,0.3991721990964313,918.7840290381124,43.31895,AAC
2.1852522,72.18540747807059,165.58040593286495,170.21870608899297,228.1603337236534,563.9594457455113,0.2857329034823904,0.3018170805661022,0.4124500159515074,598.5031868351507,52.07835,AAC
1.6372015,80.82980165186792,132.01770662785762,130.15547874598266,163.7551543266024,425.9283397004427,0.3011227137420061,0.3057769134925523,0.3931003727654414,581.2987875768144,87.1487,AAC
0.6009336,104.17628478452166,134.21404181673606,142.2410776930633,190.21783058141168,466.6729500912111,0.2802201748190064,0.3041970179289562,0.4155828072520373,469.779834525312,36.26021,AAC
2.765676,67.02440850296243,142.14699729767958,139.47187130105934,172.63002032323624,454.2488889219752,0.3060200897271946,0.3068080988689341,0.3871718114038713,485.63804219912817,51.35619,AAC
