calculated weight[g],gt weight[g],weight difference[g],calculated volume[ml],gt volume[ml],volume difference[ml]
530.1,462.6,67.5,891.4002533426524,281.25,610.1502533426524
390.4,385.0,5.399999999999977,636.4787347024383,156.25,480.22873470243826
670.5,630.9,39.60000000000002,1240.9347930901479,593.75,647.1847930901479
212.3,107.3,105.00000000000001,654.4893402545877,203.125,451.36434025458766
285.5,241.4,44.099999999999994,481.31360969718287,171.875,309.43860969718287
332.6,327.3,5.300000000000011,914.4237773373319,156.25,758.1737773373319
825.1,752.0,73.10000000000002,1559.0664247416246,390.625,1168.4414247416246
650.5,657.7,-7.2000000000000455,923.7942429303904,328.125,595.6692429303904
743.4,704.2,39.19999999999993,812.9105248091662,312.5,500.4105248091662
402.7,360.7,42.0,557.1986425573064,165.625,391.57364255730636
494.9,500.2,-5.300000000000011,904.630295072448,218.75,685.880295072448
413.0,360.0,53.0,851.7108418282476,234.375,617.3358418282476
1091.0,995.2,95.79999999999995,1689.8146333009877,687.5,1002.3146333009877
349.0,402.2,-53.19999999999999,2539.6801629134984,781.25,1758.4301629134984
904.0,868.5,35.5,1628.8766265055326,468.75,1160.1266265055326
1712.4,1615.7,96.70000000000005,2808.628053587186,828.125,1980.503053587186
560.0,557.8,2.2000000000000455,1141.0876806397919,359.375,781.7126806397919
313.3,247.6,65.70000000000002,318.96426785136055,203.125,115.83926785136055
192.4,123.1,69.30000000000001,271.8747127715407,140.625,131.24971277154071
541.1,549.6,-8.5,1318.998225196358,343.75,975.2482251963579
540.9,505.8,35.099999999999966,1078.3738610008165,261.3636363636364,817.0102246371802
2244.3,2143.8,100.5,3056.743862752285,909.090909090909,2147.652953661376
2230.4,2166.8,63.59999999999991,3229.4436926868284,863.6363636363636,2365.807329050465
985.4,968.9,16.5,1922.0995481176424,647.7272727272727,1274.3722753903696
1461.1,1379.6,81.5,2102.009439032995,659.0909090909091,1442.918529942086
288.3,251.4,36.900000000000006,527.3318768205639,204.54545454545453,322.78642227510943
479.7,435.7,44.0,571.6796693393277,215.9090909090909,355.7705784302368
575.2,585.1,-9.899999999999977,828.3994736366011,261.3636363636364,567.0358372729647
272.0,245.2,26.80000000000001,523.5509845650979,181.8181818181818,341.7328027469161
708.9,606.1,102.79999999999995,816.0657745440125,204.54545454545453,611.520319998558
327.9,300.5,27.399999999999977,358.9806561362839,159.0909090909091,199.88974704537483
563.2,582.6,-19.399999999999977,677.9857951182745,272.72727272727275,405.25852239100175
468.0,406.3,61.69999999999999,550.21609816577,181.8181818181818,368.39791634758814
2348.4,2227.2,121.20000000000027,3196.588287169745,1090.909090909091,2105.679196260654
473.9,439.6,34.299999999999955,673.272020582205,181.8181818181818,491.45383876402315
546.9,472.6,74.29999999999995,769.728855387079,204.54545454545453,565.1834008416245
179.0,135.8,43.19999999999999,222.58579288398153,56.81818181818181,165.7676110657997
290.6,225.8,64.80000000000001,239.13521278601874,90.9090909090909,148.22612187692783
