calculated weight[g],gt weight[g],weight difference[g],calculated volume[ml],gt volume[ml],volume difference[ml]
530.1,462.6,67.5,301.65163870211404,281.25,20.40163870211404
390.4,385.0,5.399999999999977,220.16451161953407,156.25,63.91451161953407
670.5,630.9,39.60000000000002,402.8166071899612,593.75,-190.9333928100388
212.3,107.3,105.00000000000001,258.63885886105504,203.125,55.51385886105504
285.5,241.4,44.099999999999994,173.6158818266649,171.875,1.7408818266648893
332.6,327.3,5.300000000000011,326.70907296597676,156.25,170.45907296597676
825.1,752.0,73.10000000000002,556.3818570491551,390.625,165.7568570491551
650.5,657.7,-7.2000000000000455,328.04148299032494,328.125,-0.08351700967506304
743.4,704.2,39.19999999999993,325.16044257128243,312.5,12.660442571282431
402.7,360.7,42.0,203.97750117782476,165.625,38.35250117782476
494.9,500.2,-5.300000000000011,329.4417816019044,218.75,110.69178160190438
413.0,360.0,53.0,273.7072643661548,234.375,39.33226436615479
1091.0,995.2,95.79999999999995,659.1589619506462,687.5,-28.341038049353756
349.0,402.2,-53.19999999999999,949.6303805275791,781.25,168.38038052757906
904.0,868.5,35.5,514.9741841965182,468.75,46.224184196518195
1712.4,1615.7,96.70000000000005,852.2731601611864,828.125,24.14816016118641
560.0,557.8,2.2000000000000455,436.7780073895314,359.375,77.40300738953141
192.4,123.1,69.30000000000001,87.47219073219051,203.125,-115.65280926780949
541.1,549.6,-8.5,386.1995994097839,140.625,245.5745994097839
540.9,505.8,35.099999999999966,330.4450509622365,343.75,-13.304949037763492
2244.3,2143.8,100.5,1356.0630339466873,261.3636363636364,1094.699397583051
2230.4,2166.8,63.59999999999991,1137.900847802203,909.090909090909,228.80993871129408
985.4,968.9,16.5,623.3606536995081,863.6363636363636,-240.2757099368555
1461.1,1379.6,81.5,769.2314076021308,647.7272727272727,121.5041348748581
288.3,251.4,36.900000000000006,147.56036117071585,659.0909090909091,-511.53054792019327
479.7,435.7,44.0,208.07992237744105,204.54545454545453,3.534467831986518
575.2,585.1,-9.899999999999977,298.0252410757094,215.9090909090909,82.1161501666185
272.0,245.2,26.80000000000001,186.11865714236922,261.3636363636364,-75.24497922126716
708.9,606.1,102.79999999999995,274.79429319199375,181.8181818181818,92.97611137381193
327.9,300.5,27.399999999999977,122.50347614653032,204.54545454545453,-82.04197839892421
563.2,582.6,-19.399999999999977,246.40946457120432,159.0909090909091,87.31855548029523
468.0,406.3,61.69999999999999,179.5934598254992,272.72727272727275,-93.13381290177355
2348.4,2227.2,121.20000000000027,1205.958760080512,181.8181818181818,1024.1405782623303
473.9,439.6,34.299999999999955,209.90669307592754,1090.909090909091,-881.0023978331635
546.9,472.6,74.29999999999995,239.39594247235402,181.8181818181818,57.57776065417221
179.0,135.8,43.19999999999999,76.00992443212705,204.54545454545453,-128.53553011332747
290.6,225.8,64.80000000000001,85.06665633061722,56.81818181818181,28.248474512435408
,,,,90.9090909090909,
